year,OGSI_mean,scenario
2023,25.05671708,EFM
2024,25.05671708,EFM
2025,25.05671708,EFM
2026,25.05671708,EFM
2027,25.05671708,EFM
2028,25.05671708,EFM
2029,25.05671708,EFM
2030,25.05671708,EFM
2031,25.05671708,EFM
2032,25.05671708,EFM
2033,25.05671708,EFM
2034,25.05671708,EFM
2035,25.05671708,EFM
2036,25.05671708,EFM
2037,25.05671708,EFM
2038,25.05671708,EFM
2039,25.05671708,EFM
2040,25.05671708,EFM
2041,25.05671708,EFM
2042,25.05671708,EFM
2043,25.05671708,EFM
2044,25.05671708,EFM
2045,25.05671708,EFM
2046,25.05671708,EFM
2047,25.05671708,EFM
2048,25.05671708,EFM
2049,25.05671708,EFM
2050,25.05671708,EFM
2051,25.05671708,EFM
2052,25.05671708,EFM
2053,25.05671708,EFM
2054,25.05671708,EFM
2055,25.05671708,EFM
2056,25.05671708,EFM
2057,25.05671708,EFM
2058,25.05671708,EFM
2059,25.05671708,EFM
2060,25.05671708,EFM
2061,25.05671708,EFM
2062,25.05671708,EFM
2063,25.05671708,EFM
2064,25.05671708,EFM
2065,25.05671708,EFM
2066,25.05671708,EFM
2067,25.05671708,EFM
2068,25.05671708,EFM
2069,25.05671708,EFM
2070,25.05671708,EFM
2071,25.05671708,EFM
2072,25.05671708,EFM
2073,25.05671708,EFM
2074,25.05671708,EFM
2075,25.05671708,EFM
2076,25.05671708,EFM
2077,25.05671708,EFM
2078,25.05671708,EFM
2079,25.05671708,EFM
2080,25.05671708,EFM
2023,25.05671708,harvest
2024,25.05671708,harvest
2025,25.05671708,harvest
2026,25.05671708,harvest
2027,25.05671708,harvest
2028,25.05671708,harvest
2029,25.05671708,harvest
2030,25.05671708,harvest
2031,25.05671708,harvest
2032,25.05671708,harvest
2033,25.05671708,harvest
2034,25.05671708,harvest
2035,23.51491702,harvest
2036,21.97311695,harvest
2037,20.43131689,harvest
2038,18.88951683,harvest
2039,17.34771676,harvest
2040,17.49838681,harvest
2041,17.63558145,harvest
2042,17.84152883,harvest
2043,18.18989205,harvest
2044,18.29199127,harvest
2045,18.52118192,harvest
2046,18.71607135,harvest
2047,18.85128524,harvest
2048,19.04895727,harvest
2049,19.47440971,harvest
2050,19.88225355,harvest
2051,20.55956775,harvest
2052,20.94391817,harvest
2053,21.34661744,harvest
2054,21.54713707,harvest
2055,21.89651644,harvest
2056,22.1091977,harvest
2057,22.60349737,harvest
2058,22.96413474,harvest
2059,23.39483871,harvest
2060,23.93776414,harvest
2061,24.59905681,harvest
2062,25.05671708,harvest
2063,25.05671708,harvest
2064,25.05671708,harvest
2065,25.05671708,harvest
2066,25.05671708,harvest
2067,25.05671708,harvest
2068,25.05671708,harvest
2069,25.05671708,harvest
2070,25.05671708,harvest
2071,25.05671708,harvest
2072,25.05671708,harvest
2073,25.05671708,harvest
2074,25.05671708,harvest
2075,25.05671708,harvest
2076,25.05671708,harvest
2077,25.05671708,harvest
2078,25.05671708,harvest
2079,25.05671708,harvest
2080,25.05671708,harvest
