year,model,SST_spr_mean
2023,canesm2,13.422225110956497
2023,ccsm4,12.097531423147782
2023,giss_e2_h,11.5758102591803
2023,noresm1_m,11.010096110363031
2024,canesm2,13.18856929816375
2024,ccsm4,12.58874375605931
2024,giss_e2_h,11.230004473962063
2024,noresm1_m,10.266988658596729
2025,canesm2,13.01853333301767
2025,ccsm4,13.133566880438348
2025,giss_e2_h,12.153421876541032
2025,noresm1_m,12.437852624750624
2026,canesm2,13.319420203179218
2026,ccsm4,12.242124617165512
2026,giss_e2_h,11.624488097155997
2026,noresm1_m,12.393593592756318
2027,canesm2,12.638365564532087
2027,ccsm4,12.159736120744318
2027,giss_e2_h,12.044134494297037
2027,noresm1_m,12.737758891665427
2028,canesm2,12.548688910055828
2028,ccsm4,14.278193679273986
2028,giss_e2_h,11.817570787874354
2028,noresm1_m,10.89829728072048
2029,canesm2,13.661170541413776
2029,ccsm4,13.690703662006213
2029,giss_e2_h,11.799475671678575
2029,noresm1_m,10.925171607817989
2030,canesm2,14.059980030140458
2030,ccsm4,11.781360082700786
2030,giss_e2_h,12.211940467328835
2030,noresm1_m,12.357268815723112
2031,canesm2,13.281177364474289
2031,ccsm4,12.837503831884828
2031,giss_e2_h,12.45126727993148
2031,noresm1_m,11.298568181541246
2032,canesm2,12.839906777961565
2032,ccsm4,13.64954793935327
2032,giss_e2_h,11.565887336427332
2032,noresm1_m,11.665016416353676
2033,canesm2,13.0665083488756
2033,ccsm4,12.605341577538088
2033,giss_e2_h,11.545523138068637
2033,noresm1_m,10.85572444129996
2034,canesm2,12.459414685897794
2034,ccsm4,13.739413030690162
2034,giss_e2_h,11.138534961877784
2034,noresm1_m,13.024215639197823
2035,canesm2,12.997871022402965
2035,ccsm4,11.892677146439237
2035,giss_e2_h,11.523912482014955
2035,noresm1_m,14.124141277206745
2036,canesm2,13.195793073926223
2036,ccsm4,14.331141545798166
2036,giss_e2_h,11.714158546664782
2036,noresm1_m,12.084794957236031
2037,canesm2,12.523396603059624
2037,ccsm4,12.579190702086226
2037,giss_e2_h,11.694276893254656
2037,noresm1_m,10.999802263458896
2038,canesm2,13.171925080311407
2038,ccsm4,11.87632360792668
2038,giss_e2_h,12.454939710099127
2038,noresm1_m,11.2912277671108
2039,canesm2,12.334393590943645
2039,ccsm4,13.261405959990372
2039,giss_e2_h,11.921041915118868
2039,noresm1_m,12.156613045442278
2040,canesm2,13.597117451562838
2040,ccsm4,13.876308471949796
2040,giss_e2_h,11.886519241306624
2040,noresm1_m,12.21216937304524
2041,canesm2,14.026671547611246
2041,ccsm4,12.767828071001198
2041,giss_e2_h,12.487154627526872
2041,noresm1_m,10.873149359525703
2042,canesm2,12.938973729288293
2042,ccsm4,12.768360023558932
2042,giss_e2_h,11.554396193335084
2042,noresm1_m,11.40345328507116
2043,canesm2,13.334416638849822
2043,ccsm4,13.913518019932903
2043,giss_e2_h,11.997320155372746
2043,noresm1_m,11.781329368346997
2044,canesm2,12.993711929379954
2044,ccsm4,13.490868706100468
2044,giss_e2_h,12.18128333896863
2044,noresm1_m,12.615160986338454
2045,canesm2,13.279795979432375
2045,ccsm4,12.58651335451783
2045,giss_e2_h,12.14708312556322
2045,noresm1_m,11.381711463720618
2046,canesm2,13.8863642098568
2046,ccsm4,11.34773778671792
2046,giss_e2_h,12.800658159034926
2046,noresm1_m,11.24849914912639
2047,canesm2,13.89765191998994
2047,ccsm4,12.17018676868556
2047,giss_e2_h,11.86408204943842
2047,noresm1_m,11.388709482143778
2048,canesm2,13.772315251214344
2048,ccsm4,13.487384961350696
2048,giss_e2_h,12.0859595676465
2048,noresm1_m,12.114625188989764
2049,canesm2,13.55299671267358
