pop,A,year,S_obs,n_age3_obs,n_age4_obs,n_age5_obs,n_H_obs,n_W_obs,fit_p_HOS,B_take_obs,F_rate,watershed,SST_spr_mean,upwell_spr,hatch_release,Spartina_acre,OGSI_mean,OGSI_mean_sbuff50,OGSI_mean_sbuff100,OGSI_mean_sbuff250
1,1.2,1984,4016,33,29,2,0,0,FALSE,0,0.35034303,Ellsworth,11.293254137039185,0.25092682501550867,8600000,1105.336516,20.0076561450638,25.773889227023737,24.674422211881495,21.72924980047885
1,1.2,1985,3381,42,21,1,0,0,FALSE,0,0.263371376,Ellsworth,11.57012383143107,0.16418431736004535,6237000,1237.976898,20.0076561450638,25.773889227023737,24.674422211881495,21.72924980047885
1,1.2,1986,2554,5,58,1,0,0,FALSE,0,0.490574096,Ellsworth,11.718715190887451,0.21622982195332335,3228000,1386.534126,20.0076561450638,25.773889227023737,24.674422211881495,21.72924980047885
1,1.2,1987,2857,40,20,4,0,0,FALSE,0,0.669130767,Ellsworth,11.531917572021484,0.06544444444444444,4224600,1552.918221,19.680182395279186,25.271315468940315,24.032268073223705,21.282419408441346
1,1.2,1988,4383,1,61,2,0,0,FALSE,0,0.661598035,Ellsworth,11.904336214065552,0.16844444444444445,0,1739.268407,18.774763463521815,24.21933312939737,23.08885071830106,20.410519991989855
1,1.2,1989,2554,9,22,33,0,0,FALSE,0,0.515094032,Ellsworth,11.69222354888916,0.1361111111111111,0,1947.980616,18.345239171715345,23.445300462249616,22.277498428661215,19.863461926883456
1,1.2,1990,1292,2,57,5,0,0,FALSE,0,0.143724645,Ellsworth,11.282551924387612,0.19866666666666663,0,2181.73829,18.356038691014284,23.28439803439803,22.228114213994353,19.85503834252657
1,1.2,1991,2951,16,38,10,0,0,FALSE,0,0.495867769,Ellsworth,12.725496927897137,0.19144444444444444,0,2443.546885,18.17288898896645,23.064012251148544,21.886438291881745,19.591125410550305
1,1.2,1992,4769,1,60,3,0,0,FALSE,0,0.629542691,Ellsworth,12.538774808247885,-0.052,320756,2736.772511,18.022332282755517,22.881651376146788,21.62363067292645,19.32964750033507
1,1.2,1993,3367,5,21,38,0,0,FALSE,0,0.29340035,Ellsworth,12.091176430384316,0.15711111111111112,99703,3065.185212,18.021140609636184,22.96824427480916,21.565785381026437,19.288346414793136
1,1.2,1994,2791,15,40,9,0,0,FALSE,0,0.035714286,Ellsworth,12.247067292531332,0.189,345800,3433.007438,18.05361607142857,23.212389380530972,21.677329192546583,19.315440249485768
